Prevalence,NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAREST_OPENSPACE,NEAREST_ROAD
15.3,32.1505241,0.0667652,13.9803009,22.8041935,27.141229119398542,69.080588310588908
9.2,46.892868,0.0716613,15.5902557,22.056736,14.694382814849595,92.767937145249789
12.1,28.3273678,0.0668943,13.2892408,22.7329197,0,9.794608430571573
14.8,79.2291336,0.0777821,12.8184481,24.80513,0,69.547719316928507
19.4,63.8312607,0.073776,15.5824814,23.3881073,33.070629155270758,41.086778984223784
7.5,36.9827576,0.0707977,15.1354847,20.7815208,0,107.687710399901590
5.7,48.3791695,0.0718723,15.5799866,22.1625271,46.775456541990394,34.912849889929419
10,43.1899796,0.063997,42.9939766,23.6600285,21.381777586977726,63.377772571755884
10.9,48.9833488,0.0712586,15.6281586,23.5351715,0,36.915725621720142
10.8,61.450634,0.0735345,15.3557701,23.4515228,41.991279523473850,44.596994382362915
9.1,49.05867,0.0712038,15.7920246,23.5284252,0,63.399264466223322
11.8,47.5325165,0.0710072,15.7265577,23.5144176,154.600631593362579,31.417076107726679
21.2,76.2933884,0.0777638,13.4327183,23.8589573,48.767050671775678,23.303093278040517
3.7,50.388607,0.070277,17.5217037,23.4614983,49.381020270851181,99.834349217424446
8.7,73.8028107,0.0772615,13.3782215,24.5589542,43.050793251825731,49.099744925168395
2.6,48.5770988,0.0701806,17.1798096,23.4532757,37.247012358797129,30.801001201351184
11.3,40.4432678,0.0714241,15.3031435,20.9304237,20.491127106078697,65.650538199977376
6.1,50.4875374,0.070624,17.5040131,23.487999,18.326356619809925,43.466458062662745
15.6,65.4250717,0.0731156,16.5877457,23.4229527,37.208942799510169,28.883507078446353
6.9,74.2764282,0.0769255,13.5707579,24.3879662,26.230075016716206,48.386211873674966
11.2,42.5080185,0.0715323,15.3430462,21.1558228,65.668201099739434,0.076494216
11.8,49.8560867,0.0714862,15.2857466,23.5577221,41.318011798616993,80.888101152181505
9.7,49.8560867,0.0714862,15.2857466,23.5577221,41.318011798616993,80.888101152181505
9.8,32.0423927,0.0663015,14.127389,22.7435684,86.774896366925617,123.985534037159439
6.4,35.0200272,0.071374,16.2735901,21.7812595,0,33.683646897962952
15.6,76.775444,0.0774629,13.3973169,23.8439884,0,54.441547217277403
5.8,37.4225159,0.0735843,15.6172791,20.6530895,71.827768407735860,164.440883701186436
18.7,79.2599106,0.0775771,12.8643141,24.1942768,7.417296006019345,63.037402244882706
12.2,43.6283264,0.065326,37.4788361,23.1762238,69.360488013397458,57.886944361120619
10.5,46.088829,0.0698227,21.7852707,21.7080193,17.577562499730995,39.889819002757903
7.2,34.2347221,0.0676497,14.2434387,23.0748405,0,41.413534701290814
8.1,77.1609955,0.0794161,12.7338848,24.5559349,0,32.665300109817053
11.4,40.7907906,0.0693084,15.3117218,23.3994064,40.460821116483622,81.351042185112632
19.7,42.287468,0.065657,35.3968468,23.6058102,50.527915367637334,48.009474056273405
5.5,41.4012604,0.0714079,15.3357458,21.0841331,52.263067559242792,70.397336138214683
10.3,30.7153416,0.067948,13.3922787,22.9118786,88.443778739170355,200.388428475628359
15.5,64.4060593,0.0744845,14.9246359,22.9308052,563.054252698826303,273.786195594858043
11.9,52.1379013,0.0725367,15.330554,22.0874786,600.023243670224133,152.481807306310827
13.6,39.146389,0.0709925,18.9709473,21.7499599,55.403093736996112,16.964800629443310
15.6,35.1454201,0.0665876,15.1011333,22.8332367,0,67.688519985969364
7.7,43.0142593,0.0641782,42.3829498,23.7032185,0,52.103478987702296
18.9,40.1060448,0.0713168,17.6334915,21.645134,64.293393179188499,46.652738297720042
17.8,34.8142586,0.0701461,14.9044189,19.0531845,78.818233311146813,28.115369383301861
19,53.3488045,0.0709121,17.0186787,23.0093193,165.473826825491159,21.977798899201364
10.3,79.0113754,0.0775632,12.8859911,24.1338291,0,34.531761395820773
7.5,33.6500511,0.0691317,13.6325159,23.2883835,38.763967834543095,32.605833437917092
7.7,65.2090225,0.0738279,15.7981043,23.3707027,36.913975560512348,84.631601116440194
10.2,41.6590042,0.0743644,15.753644,20.0185184,13.791026378155518,70.353653773148167
16.8,44.6682777,0.0713848,17.1234493,21.3153934,84.947473648108442,74.138187003850547
7.5,34.4442177,0.0720914,15.5981855,21.5587921,8.651198776332935,20.937630167831273
26.2,30.1819496,0.0678119,13.3186846,22.8661861,25.427014920288059,24.853759983234919
8.8,55.61343,0.0716144,16.7568283,22.6781998,0,104.938904057132874
11.8,65.7702103,0.0745872,14.8143845,23.4982643,32.175506419810027,72.722465138639961
10.9,76.5971375,0.0777641,13.2941256,23.8929729,354.190884827704110,19.731297601495942
8.6,74.1152267,0.0761279,14.2754402,24.4026966,55.120181333820014,47.943429423706618
7.1,39.815506,0.0710165,13.7307091,23.5453014,200.462878753382228,120.683044692760049
4.6,47.9459953,0.0720499,15.35285,21.8269081,40.860344183299304,35.003092939748853
5.8,79.9841232,0.0775554,12.8582687,24.6861916,46.147198987125208,59.474167334622678
20.4,43.2898331,0.0639997,43.0276909,23.7964115,53.921813686447237,44.922566591706818
17.9,79.9841232,0.0775554,12.8582687,24.6861916,46.147198987125208,59.474167334622678
14,37.4214706,0.0717405,16.8565979,21.7062092,28.987764946553895,34.796590297887846
8.5,52.7886734,0.071505,16.8440552,23.5512543,105.643466480837944,20.259214707696341
8.8,34.6656227,0.0662437,14.9410782,22.8316078,157.601724817981250,34.456278695963178
10.7,43.4815674,0.0697621,15.840395,23.4147968,57.803126463222782,43.248763320953600
4.5,33.4872971,0.067216,14.1714201,22.9493923,168.098551694553095,43.839813317742930
4.8,65.767189,0.0754544,13.9822655,23.7186546,50.513896060167731,102.083439721163217
15,34.9199295,0.0692083,13.9457331,23.3675747,99.277235497315473,145.811383739063501
10,49.0430031,0.0702149,17.2862167,23.4569016,39.463472758310573,39.779369429585024
20.5,34.0669899,0.0735238,15.3479853,20.4535637,68.707894220656129,136.137808924750800
10.5,47.5764046,0.0696477,17.0763435,23.4155083,66.113141087516183,84.949452724973725
13.5,66.8228073,0.0740218,15.2476406,23.4231529,192.329270043600104,149.931576849729851
13.1,45.3194122,0.0590001,35.3631744,23.9224033,42.620681293058816,51.199269340659896
18.2,46.3788986,0.0721014,15.182972,21.2465,427.247224219863085,38.867318345180813
4.5,36.9033165,0.0701996,13.779542,23.4903965,55.780340495795137,30.376661269273711
21,35.5355759,0.0661338,15.0815058,22.9379807,40.903962177937643,129.582949521319449
3.5,28.3108406,0.0677949,12.7448845,22.8109665,54.184915886530199,62.704826826116566
9.2,33.1834602,0.0671535,14.1176825,22.9190617,72.070057152111389,150.792487402285758
7.8,40.8886528,0.0690816,15.4642181,23.3742676,53.024409796360736,58.804426793021662
15.8,80.2944183,0.0771336,13.1002169,24.0728188,436.178718851695123,123.107256423975372
14.4,34.1066589,0.0681262,14.963378,22.0954914,60.180535382094824,24.149642299522750
11.1,63.9132729,0.0742696,14.9018116,23.4479179,1.773267489140407,36.915130993498721
3.4,72.1166916,0.0785034,12.8687773,24.7946014,12.078911860947137,93.084896737065449
20.6,33.0944214,0.0666564,14.2417812,22.837286,23.915030878524849,83.896517097264081
11.8,42.9303589,0.0702244,21.0906773,21.7482281,50.028594182408128,79.039638463933841
18.2,41.8583565,0.0709743,18.1703739,21.6520805,38.181537361961688,48.816118572155112
9.8,44.2630386,0.0714264,14.7661724,23.5661201,326.783694936611539,60.176812227067956
9,37.3966522,0.0674285,15.5798035,22.9186325,119.865238269730213,62.220655874022178
11.6,72.1459503,0.0755039,14.585413,24.2134247,0,122.477102560554371
20.3,42.1073799,0.073067,15.8203773,20.8264122,31.945170976560135,79.262124988590486
13,42.0135345,0.0712847,17.1996574,21.5373077,264.981729711210164,28.394475202018128
15,72.9347229,0.0754476,14.6091776,23.9389038,29.805629712479821,92.411032741352784
8.4,33.2302322,0.0685031,13.8324165,23.1740437,75.298453690667259,61.815860770991151
12.2,56.5980339,0.0733196,14.4090281,23.6385689,44.728033428177980,33.238596972254804
9.5,43.8135033,0.0722758,15.2967815,20.4527016,57.999013031607802,30.216299452343243
12.8,52.2688217,0.0705752,17.7505608,23.478302,62.599070358943415,68.389387960337103
18.1,28.7026176,0.0670547,13.2904367,22.7460461,0,35.875952606265884
5.7,41.9689102,0.0660366,32.8332558,24.67243,403.954774291584556,56.587886983540969
10.6,41.6207504,0.0711675,15.4049025,21.3005505,0,62.938445991186775
16.9,76.8360367,0.0775896,12.9768229,24.8181362,0,25.483421188479788
12.2,72.1298828,0.0754413,14.6153507,24.1739693,0,68.236074317268333
9,43.2408142,0.0714272,14.7374945,23.5617523,71.909984686449050,36.307615092591945
5.9,56.1411209,0.0711668,17.5376015,23.3842125,12.417664284026076,48.240567322649433
9.4,58.4372177,0.0716208,17.6106205,23.3439579,34.255657822220599,51.590622022440030
16.5,41.3050575,0.0713856,17.2362061,21.5054054,11.193539897005966,72.539059234328832
6.7,45.6840706,0.0737856,15.4203825,19.7151985,56.924920525345073,45.819308294345475
3.4,77.8424377,0.0776092,13.0334892,23.9722519,42.522879425142477,64.761872757540132
9.1,47.3479385,0.0714695,15.7572317,22.2060757,0,37.738820662358435
5.3,51.3111725,0.0736907,14.9345627,20.5736752,124.532371996894909,35.507597354824824
15.7,43.3334656,0.0690737,16.2075539,23.365406,84.432809820821916,16.352232699344846
20.5,43.7395782,0.074092,15.4166451,19.6209126,26.508948744832281,49.670247238575655
3.7,79.1172943,0.077603,12.862937,24.1828537,19.557433684116528,39.039613281171924
11,77.1579742,0.0788352,12.8748436,24.1429214,70.473333833045274,74.192390006308813
5.3,,0.0811597,13.3000002,22.6670818,80.861299544850112,33.686537644798719
9.7,46.9138641,0.0721395,15.1767254,21.3247986,196.189473777479265,43.871372855509165
14.8,46.0428123,0.0706468,16.0965729,22.1169701,0,263.001172398231290
10.9,69.240036,0.0758172,13.9785595,23.9294186,43.598944401018763,77.785122591972879
15,69.1455002,0.0804807,12.1357689,24.9062424,58.757267726366749,37.871758464462175
6.4,,0.0813789,13.3000002,23.4642677,0,63.225596370812397
7.8,60.4813919,0.0720413,17.8330479,23.3394661,104.955922076029907,98.067344441933045
13.5,42.7211571,0.0738253,15.7367277,20.5999184,43.249809247091854,46.883610090190075
