NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAREST_OPENSPACE,NEAREST_ROAD,Prevalence
44.9653664,0.059,38.125988,25.0940647,0,538.796744380966857,
41.3481178,0.0739835,15.5411835,20.102314,256.659384923816503,235.810304464941566,
47.0551376,0.0687375,27.4340782,21.8703041,145.548532110005283,56.095305780044747,
34.4563866,0.0739746,15.2106981,20.0911427,0,1022.828371125844455,
34.0426788,0.0698274,14.6774817,19.1138496,119.650409999724374,186.979410860466714,
45.1832237,0.0596778,35.3953896,23.2542458,273.814845265149017,80.641074471549913,
35.1961021,0.0746683,15.2471628,20.154108,0,11.721628957547512,
35.1180382,0.0746746,15.4215498,19.9676437,169.552711592482780,38.545028008999559,
76.8501816,0.0776373,13.3026466,23.8039894,110.214703944366320,548.273345678348505,
76.338623,0.0787025,12.601963,24.9544773,0,495.483462488664145,
77.5988541,0.0772909,13.2270689,24.7923527,492.100534366014642,253.790762580049147,
48.1047134,0.0678976,29.6897106,22.2187119,0,377.628742260523097,
75.6877441,0.0809357,13.4256153,23.9044285,0,185.772382663765967,
66.5217285,0.0744935,14.9623394,23.4126568,201.559949493490279,308.008440438198249,
46.730278,0.0693805,23.9703751,21.761776,0,368.935219020063016,
42.0357971,0.0740726,15.5228157,19.935442,38.517998551346089,153.968898162078091,
45.1432228,0.068112,30.8171272,22.0428677,153.881321505884074,4.785326253080485,
35.5667839,0.0709369,17.7308884,21.5097504,621.009902845960369,473.257543253674726,
42.3901787,0.0653022,37.3446388,24.3655987,0,726.078525014075808,
58.468277,0.0748221,14.7580128,22.1486912,231.088643444978970,220.020414951887602,
35.5681648,0.0744062,15.5185366,20.4205151,0,224.725287070319098,
42.1196098,0.0664242,30.8191605,24.2964191,1279.026184933966533,495.868372414892406,
44.3419533,0.0667646,34.2249718,22.758688,0,51.075028480680487,
35.7006416,0.0743692,15.5101223,20.422636,0,111.006125172875727,
34.7285881,0.0705181,15.0690823,19.7599545,0,542.056418688241365,
41.0587845,0.0698662,22.8870544,21.8454781,226.902606592902202,35.488010091702122,
,0.0888059,,,14.303638343155471,1.897937927462165,
42.3299942,0.0652447,37.6053848,23.2568932,0,1464.733535536222917,
34.4309273,0.0737939,15.1775227,19.8835125,0,212.387223635106068,
38.4623222,0.0707849,19.5992222,21.7865009,0,18.774893619825733,
42.9073372,0.0640262,42.97052,24.6439781,1174.443662929639004,747.531641701273770,
32.7951775,0.0695452,14.5085001,19.458189,184.950357147421983,321.971644155916351,
42.1055412,0.0664849,30.5784683,24.2478085,1030.326654884649088,477.260805906327732,
47.3671722,0.0678045,30.9137859,22.2615967,213.214393764049902,502.092048482858218,
46.3536644,0.0687223,27.6544113,21.8793564,0,220.292910298345703,
33.5828552,0.0696584,14.597764,19.298151,142.223478961893761,9.126041326374438,
35.229969,0.0707606,15.2960005,19.7565708,184.583308390660704,146.752788846377882,
39.2250633,0.0743428,15.9146214,20.3876514,539.933349460305067,91.129770819195656,
35.0919037,0.0745422,15.1964865,20.1626148,187.979643301916951,172.136885287785901,
77,0.0779522,13.3000002,23.7916889,0,202.948650180545371,
44.1423721,0.0617451,41.0736504,23.6895599,745.016595335300053,29.305180702654546,
,0.0820882,13.3000002,26.8089066,221.465661270561327,482.808453339484629,
47.482296,0.0693848,22.6160374,21.5279655,454.281383999583397,201.554902778722578,
80.9588852,0.0769832,13.531599,24.9650097,0,151.386826261924682,
76.8733902,0.0778706,13.3016577,23.8197517,296.106133008277027,126.201715267545367,
36.9254303,0.0727043,15.4989748,20.213541,33.616601746610918,25.851697206964769,
,0.0768673,13.3000002,22.0133572,1554.260381445404164,125.989581818363888,
77,0.080517,13.3000002,23.7577114,130.916648305694167,117.707989265652301,
77,0.0779208,13.3000002,23.7118263,0,446.979664151790473,
